,Gene,UniProt AC,ipTM,ipSAE,pDockQ,PDB
29,HOXA11,P31270,0.43,0.603996,0.3174925516429936,Q01860_P31270.pdb
30,RPA3,P35244,0.5,0.069897,0.557320933547393,Q01860_P35244.pdb
31,SOX18,P35713,0.43,0.583592,0.09083438203666444,Q01860_P35713.pdb
32,GATA4,P43694,0.42,0.5238119999999999,0.19609323972027,Q01860_P43694.pdb
33,HINT1,P49773,0.49,0.076476,0.5270237544061213,Q01860_P49773.pdb
34,POLR2H,P52434,0.24,0.005175,0.5239051787633431,Q01860_P52434.pdb
35,CLNS1A,P54105,0.6,0.662701,0.2143932079970252,Q01860_P54105.pdb
36,PRRX1,P54821,0.42,0.539878,0.2050821741164538,Q01860_P54821.pdb
37,PAX9,P55771,0.4,0.467199,0.5005003926533291,Q01860_P55771.pdb
38,RBM11,P57052,0.41,0.5738800000000001,0.6173789374489433,Q01860_P57052.pdb
39,NANOS3,P60323,0.57,0.598113,0.5209780415068679,Q01860_P60323.pdb
40,PPP4C,P60510,0.84,0.727279,0.5019244040750113,Q01860_P60510.pdb
41,RPS3A,P61247,0.11,0.0,0.6076792198576102,Q01860_P61247.pdb
42,RPS16,P62249,0.81,0.590878,0.6227831819231768,Q01860_P62249.pdb
43,TBPL1,P62380,0.72,0.446907,0.5999722296363946,Q01860_P62380.pdb
44,PPP2CB,P62714,0.51,0.17268599999999998,0.523221349039244,Q01860_P62714.pdb
45,TLE1,Q04724,0.46,0.72305,0.14990124048678996,Q01860_Q04724.pdb
46,TLE3,Q04726,0.45,0.688811,0.1084617776503526,Q01860_Q04726.pdb
47,TLE4,Q04727,0.46,0.740682,0.2800979840098777,Q01860_Q04727.pdb
48,PAX8,Q06710,0.43,0.523226,0.031059618130219457,Q01860_Q06710.pdb
49,SRSF1,Q07955,0.55,0.372168,0.5482761590918672,Q01860_Q07955.pdb
50,NFIA,Q12857,0.44,0.62154,0.1692155618851961,Q01860_Q12857.pdb
51,SRSF5,Q13243,0.47,0.541509,0.12473926673750745,Q01860_Q13243.pdb
52,SRSF6,Q13247,0.42,0.515375,0.16902530561388374,Q01860_Q13247.pdb
53,CBFB,Q13951,0.57,0.169482,0.6232291948691718,Q01860_Q13951.pdb
54,HES1,Q14469,0.39,0.418048,0.5387093542661395,Q01860_Q14469.pdb
55,DMC1,Q14565,0.8,0.678778,0.3881964467952247,Q01860_Q14565.pdb
56,NFIX,Q14938,0.44,0.596264,0.03916576538296767,Q01860_Q14938.pdb
57,RBMS2,Q15434,0.44,0.6162350000000001,0.0388445815021904,Q01860_Q15434.pdb
58,SMAD1,Q15797,0.43,0.540153,0.1499430590071058,Q01860_Q15797.pdb
59,TAF12,Q16514,0.5,0.4491189999999999,0.6158806434718451,Q01860_Q16514.pdb
60,TATDN3,Q17R31,0.24,0.0047740000000000005,0.5273817194160226,Q01860_Q17R31.pdb
61,PPP4R3B,Q5MIZ7,0.54,0.543825,0.09483181590455134,Q01860_Q5MIZ7.pdb
62,INTS11,Q5TA45,0.62,0.495206,0.5099684452541432,Q01860_Q5TA45.pdb
63,JADE1,Q6IE81,0.38,0.545906,0.07483458184712237,Q01860_Q6IE81.pdb
64,CENPP,Q6IPU0,0.68,0.566493,0.3975364955073995,Q01860_Q6IPU0.pdb
65,SMARCD3,Q6STE5,0.36,0.118978,0.5014592359254532,Q01860_Q6STE5.pdb
66,ZNF704,Q6ZNC4,0.43,0.548407,0.06170748321616953,Q01860_Q6ZNC4.pdb
67,SHLD3,Q6ZNX1,0.49,0.6380859999999999,0.25844504398978274,Q01860_Q6ZNX1.pdb
68,SPRED1,Q7Z699,0.42,0.508275,0.17768905640458355,Q01860_Q7Z699.pdb
69,AEBP1,Q8IUX7,0.5,0.599276,0.09738080217484467,Q01860_Q8IUX7.pdb
70,PLD3,Q8IV08,0.75,0.766687,0.26756628572863395,Q01860_Q8IV08.pdb
71,DCUN1D3,Q8IWE4,0.62,0.5914229999999999,0.2309177537122194,Q01860_Q8IWE4.pdb
72,BATF2,Q8N1L9,0.39,0.425314,0.6513745038211614,Q01860_Q8N1L9.pdb
73,RPP25L,Q8N5L8,0.67,0.444937,0.5117349734769673,Q01860_Q8N5L8.pdb
74,PRPF38A,Q8NAV1,0.55,0.568001,0.20336878117400264,Q01860_Q8NAV1.pdb
75,CPEB3,Q8NE35,0.42,0.5104449999999999,0.045733559985745034,Q01860_Q8NE35.pdb
76,DMBX1,Q8NFW5,0.44,0.568631,0.0387973788600087,Q01860_Q8NFW5.pdb
77,NFKBID,Q8NI38,0.65,0.376939,0.5444023109196393,Q01860_Q8NI38.pdb
78,OSR1,Q8TAX0,0.31,0.192838,0.5863918660891684,Q01860_Q8TAX0.pdb
79,BAHD1,Q8TBE0,0.42,0.5960850000000001,0.11868111202134304,Q01860_Q8TBE0.pdb
80,ELP5,Q8TE02,0.65,0.570259,0.1922976149619176,Q01860_Q8TE02.pdb
81,SMCR8,Q8TEV9,0.5,0.502706,0.08068227187305076,Q01860_Q8TEV9.pdb
82,NUDCD2,Q8WVJ2,0.75,0.635921,0.5649535618230302,Q01860_Q8WVJ2.pdb
83,TSEN15,Q8WW01,0.69,0.626482,0.4273414819790292,Q01860_Q8WW01.pdb
84,RUFY2,Q8WXA3,0.38,0.498806,0.510627024122719,Q01860_Q8WXA3.pdb
85,BBX,Q8WY36,0.46,0.53232,0.11298951751869295,Q01860_Q8WY36.pdb
86,RSC1A1,Q92681,0.38,0.606956,0.08077018072448364,Q01860_Q92681.pdb
87,DPF1,Q92782,0.42,0.5185890000000001,0.1061673332981612,Q01860_Q92782.pdb
88,GATA6,Q92908,0.44,0.5145109999999999,0.2420876176549087,Q01860_Q92908.pdb
89,KAT5,Q92993,0.63,0.6608350000000001,0.4328794597065327,Q01860_Q92993.pdb
90,LSM10,Q969L4,0.56,0.172229,0.5817764732285133,Q01860_Q969L4.pdb
91,HDAC10,Q969S8,0.71,0.6156119999999999,0.40575783370250657,Q01860_Q969S8.pdb
92,RMI2,Q96E14,0.8,0.649659,0.6043010009936999,Q01860_Q96E14.pdb
93,SAAL1,Q96ER3,0.75,0.6334489999999999,0.3364400021211315,Q01860_Q96ER3.pdb
94,EEF2KMT,Q96G04,0.9,0.8346600000000001,0.5420145133797764,Q01860_Q96G04.pdb
95,BOD1,Q96IK1,0.41,0.136255,0.5711611991147186,Q01860_Q96IK1.pdb
96,NSL1,Q96IY1,0.34,0.51427,0.414154938366276,Q01860_Q96IY1.pdb
97,THOC3,Q96J01,0.79,0.667571,0.4710404941069039,Q01860_Q96J01.pdb
98,ARX,Q96QS3,0.45,0.532375,0.1457191507045724,Q01860_Q96QS3.pdb
99,PARK7,Q99497,0.14,0.0,0.5350675489835841,Q01860_Q99497.pdb
100,TEAD3,Q99594,0.52,0.703383,0.19886847970606372,Q01860_Q99594.pdb
101,COQ7,Q99807,0.63,0.418787,0.5742525593536622,Q01860_Q99807.pdb
102,PRRX2,Q99811,0.43,0.58367,0.030787491105914142,Q01860_Q99811.pdb
103,MYD88,Q99836,0.52,0.52041,0.24756266107753194,Q01860_Q99836.pdb
104,MACROD1,Q9BQ69,0.66,0.67688,0.2495145887660461,Q01860_Q9BQ69.pdb
105,PAAF1,Q9BRP4,0.75,0.5640430000000001,0.5367234710519924,Q01860_Q9BRP4.pdb
106,GINS3,Q9BRX5,0.66,0.357927,0.6176866889692993,Q01860_Q9BRX5.pdb
107,MRI1,Q9BV20,0.79,0.663089,0.217348307226504,Q01860_Q9BV20.pdb
108,DSCC1,Q9BVC3,0.74,0.588619,0.5113752434541711,Q01860_Q9BVC3.pdb
109,GATA5,Q9BWX5,0.42,0.550292,0.03606709283846083,Q01860_Q9BWX5.pdb
110,NKX6-2,Q9C056,0.42,0.5787909999999999,0.12809318398810945,Q01860_Q9C056.pdb
111,CTDSP1,Q9GZU7,0.68,0.707929,0.36296591053577865,Q01860_Q9GZU7.pdb
112,BRD8,Q9H0E9,0.44,0.562233,0.049171351467489466,Q01860_Q9H0E9.pdb
113,ZCWPW1,Q9H0M4,0.43,0.577667,0.0830505974621651,Q01860_Q9H0M4.pdb
114,WDR13,Q9H1Z4,0.63,0.713859,0.5750337935659164,Q01860_Q9H1Z4.pdb
115,SENP3,Q9H4L4,0.45,0.5139319999999999,0.037206796398284135,Q01860_Q9H4L4.pdb
116,SOX17,Q9H6I2,0.42,0.516115,0.07550929159931595,Q01860_Q9H6I2.pdb
117,VCPKMT,Q9H867,0.83,0.7132189999999999,0.19182350319741712,Q01860_Q9H867.pdb
118,NHEJ1,Q9H9Q4,0.53,0.381063,0.6212678066126717,Q01860_Q9H9Q4.pdb
119,METTL14,Q9HCE5,0.54,0.542326,0.04582144706399646,Q01860_Q9HCE5.pdb
120,NT5M,Q9NPB1,0.72,0.563171,0.5008373816841589,Q01860_Q9NPB1.pdb
121,AIRIM,Q9NX04,0.73,0.498408,0.5150475289825087,Q01860_Q9NX04.pdb
122,BABAM2,Q9NXR7,0.62,0.363314,0.5846416753705658,Q01860_Q9NXR7.pdb
123,THYN1,Q9P016,0.18,0.005919,0.5113296451059496,Q01860_Q9P016.pdb
124,HESX1,Q9UBX0,0.43,0.556481,0.3606781692254698,Q01860_Q9UBX0.pdb
125,SERGEF,Q9UGK8,0.79,0.826016,0.6256229072511422,Q01860_Q9UGK8.pdb
126,NIP7,Q9Y221,0.15,0.0,0.5044799523751945,Q01860_Q9Y221.pdb
127,RAX,Q9Y2V3,0.44,0.567217,0.06612718447725659,Q01860_Q9Y2V3.pdb
128,RBM7,Q9Y580,0.4,0.5866600000000001,0.0,Q01860_Q9Y580.pdb
129,UTP18,Q9Y5J1,0.61,0.8311860000000001,0.0,Q01860_Q9Y5J1.pdb
130,NR2E3,Q9Y5X4,0.51,0.504677,0.0,Q01860_Q9Y5X4.pdb
131,WDR4,P57081,0.34,0.6736270000000001,0.178899,Q01860_P57081.pdb
132,CEBPZ,Q03701,0.16,0.568874,0.225646,Q01860_Q03701.pdb
133,DDX21,Q9NR30,0.57,0.510807,0.159804,Q01860_Q9NR30.pdb
134,BMP2K,Q9NSY1,0.36,0.640297,0.18118099999999998,Q01860_Q9NSY1.pdb
